,100-1- -a,245-1-0-a,245-1-0-b,260- - -c,653- - -a,lang,year,245-1-3-a,245-1-3-b
2012061505069,"Sandsmark, Jostein H.",Mysteriet med Morgenstjernen,,cop. 2011,,nob,2011,,
2012061505087,"Rotevatn, Siv Kristin",Strømdykk :,noveller,2006,"2000-tallet, norske, noveller",nob,2006,,
2012061505097,"Aamodt, Ingunn",Grusom spådom,,2012,,nob,2012,,
2012061505105,"Bull-Hansen, B. Andreas",Før de ni verdener styrter :,roman,2012,,nob,2012,,
2012061505157,"Stene, Øystein",Skambæreren :,roman,2006,"litteratur, norsk, prosa",nob,2006,,
2012061505158,"Bø, Victoria",Tårnseilere :,roman,2007,fjellklatring,nob,2007,,
2012061505180,"Thoresen, Jan Erik",Hvileløs vandring,,2011,"etterlatte, familieforhold, familier, pårørende, romaner, selvmord, skjønnlitteratur, sorg",nob,2011,,
2012061505205,"Mysen, Christine",Såret,,2012,,nob,2012,,
2012061505206,"Sundstøl, Vidar",Drømmenes land,,2009,,nob,2009,,
2012061506002,"Finderup, Mette",Emmy :,et nytt liv truer,2012,,nob,2012,,
2012061506008,"Diep, Nhu",Lille Ting teller til 12,,2011,"barnebøker, barnelitteratur, bildebok, bildebøker, billedbøker, norsk, tall, telling",nob,2011,,
2012061506009,"Landmark, Randi",Vårløsning,,2009,,nob,2009,,
2012061506050,"Selmer, Sarah",Retiro :,dikt,2011,"dikt, litteratur, lyrikk, norsk",nob,2011,,
2012061806031,"Strøm, Johan-Arnt",På kanten av stupet,,cop. 2011,,nob,2011,,
2012061806033,"Masterson, Louis",Med loven i ryggen,,cop. 2011,,nob,2011,,
2012061806036,"Kaaberbøl, Lene",Kadaverdoktoren,,2011,"kriminalromaner, skjønnlitteratur",nob,2011,,
2012061806044,"Vidnes-Kopperud, Bodil",Nilsen og lekegrinda,,2011,"bildebok, billedbøker, hjelpsomhet, lek, søsken",nob,2011,,
2012061806066,"Lodalen, Mian",Dårens datter,,cop. 2010,,nob,2010,,
2012061808195,"Lie, Tor",Symptombærer og symptomløser :,Arne Garborgs vei til et varig livssyn  (1851-1894) : en psykologisk studie : metode &amp; analyse,2006,"Norge, biografier, forfattere, livssyn, psykologi",nob,2006,,
2012061905117,"Haugen, Tor",Huspoetens alvor og skjemt til hverdag og fest,,cop. 2011,,nob,2011,,
2012061905118,"Svingen, Arne",Mannen med seks fingre ; Spøkelseshotellet ; Den onde læreren,,2012,,nob,2012,,
2012061905130,"Backsæther, Kari G.",Saudade :,lengsel : historier fra et møte med Brasil,cop. 2011,,nob,2011,,
2012061905131,"Aarø, Selma Lønning",Vampyrlus!,,2012,"bildebøker, biletbøker, billedbøker, leik, lek, lus, sjalusi, vennskap, venskap",nob,2012,,
2012061906001,"Harild, Kirsten Sonne",Lises forvandling,,2009,,nob,2009,,
2012061906023,"Reftel, Kristina",,,cop. 2010,,nob,2010,,
2012061906030,"Enger, Cecilie",Kammerpiken :,roman,2012,,nob,2012,,
2012061906035,"Boge, Anne-Lise",Betroelsen,,2011,,nob,2011,,
2012061906047,"Nøvik, Magnhild Groven",,,cop. 2010,,nob,2010,El camino :,en vandring i fabelens rike = Veien
2012061906076,"Johansen, Jorunn",Skjebnevalg,,2010,,nob,2010,,
2012061906084,"Ernestam, Maria.",Alltid hos deg,,cop. 2011,,nob,2011,,
2012061906085,"Lien, Merete",Svarte vinger,,2011,,nob,2011,,
2012061906097,"Grebe, Camilla",Bitrere enn døden,,cop. 2011,"kriminalromaner, skønnlitteratur",nob,2011,,
2012061906099,"Olafsen, Lisbeth Christine",Fløyelskinn og god[e] knær :,roman,2011,"barn, handikap, litteratur, norsk, roman",nob,2011,,
2012061906113,"Hammer, Elisabeth",Mellom liv og død,,2012,,nob,2012,,
2012062005038,"Nilsson, Per",,,2008,"barn, fedre, forelskelse, kjærlighet, ungdom, ungdomsbøker",nob,2008,,
2012062005047,"Almendingen, Liv",,,2009,,nob,2009,,
2012062005049,"Lien, Merete",For kjærlighetens skyld,,2011,,nob,2011,,
2012062005051,"Hubred, Stein Aage",Farlig følge,,2012,,nob,2012,,
2012062005060,"Masterson, Louis",Udyret fra Yuma,,cop. 2011,,nob,2011,,
2012062005067,"Bringsværd, Tor Åge",Når to x 4 :,fortellinger om Berte,2006,"biletbøker, billedbøker, familie, vennskap, venskap",nob,2006,,
2012062006002,"Brekke, Toril",Drømmen om Amerika ; Gullrush,,2010,,nob,2010,,
2012062006007,"Marstein, Trude",Gjøre godt :,roman,2006,"2000-tallet, norsk, norske, romanar, romaner, skjønnlitteratur",nob,2006,,
2012062006016,"Guldager, Katrine Marie",,,2009,familieforhold,nob,2009,En plass i historien,
2012062006021,"Eeg, Harald Rosenløw",Løp hare løp,,2008,"2000-tallet, norsk, norske, oppvekst, romaner, skjønnlitteratur, ungdom, åttitallet",nob,2008,,
2012062006041,"Kuhn, Camilla",Løs tann,,2011,"barnelitteratur, blokkbokstaver, bokstaver, lettlestbarnebøker, norsk, store, tannfelling, tenner",nob,2011,,
2012062006118,"Toft Simonsen, Renée",Tirsdag formiddag :,roman,2010,,nob,2010,,
2012062006143,"Masterson, Louis",,,cop. 2011,,nob,2011,En rangers ære,
2012062006147,"Lien, Merete",Dagboken,,2010,,nob,2010,,
2012062105010,"Jones, Lars",Flyvebilder :,roman,2009,,nob,2009,,
2012062105014,"Sæterbakken, Stig",Usynlige hender :,roman,2007,"2000-tallet, krim, norske, romaner, spenning",nob,2007,,
2012062105015,"Mehlum, Jan",,,2006,,nob,2006,En rettferdig dom :,kriminalroman
2012062105017,"Fribu, Unni Selen",Kvinnespeil :,dikt,2010,,nob,2010,,
2012062105018,"Lunde, Sigrid",Mor og datter,,2011,,nob,2011,,
2012062105031,"Henmo, Sverre",Opp som en løve,,2009,"barnebøker, barnelitteratur, leirskoler, miljø, ungdom, ungdomsbøker",nob,2009,,
2012062105036,"Kieri, Katarina",I dette treet,,2011,"alkoholisme, ensomhet, familien, fedre, skilsmisse, søsken, ungdom, ungdomsbøker",nob,2011,,
2012062105081,"Utvik, Aadne",Svart måne,,cop. 2007,"2000-tallet, krim, norske, romaner, spenning",nob,2007,,
2012062105082,"Knibestøl, Leiv",Veier i lys og mørke,,cop. 2009,,nob,2009,,
2012062106000,"Damhaug, Torkil","Flykt, måne",,2009,"lidelser, psykiske, romaner, schizofreni, skjønnlitteratur",nob,2009,,
2012062106010,"Sæter, Tone",Piriam redder skogen,,2012,,nob,2012,,
2012062106024,"Valgermo, Finn",Gutter og jenter og sånn,,2006,"død, forelskelse, pubertet, sorg, ungdomsbøker, vennskap",nob,2006,,
2012062106028,"Larsen, Frode Eie",Hemmeligheten :,kriminalroman,cop. 2011,,nob,2011,,
2012062106030,"Ahrnstedt, Simona",Frihet og fangenskap,,cop. 2012,"1880-tallet, skjønnlitteratur, stockholm",nob,2012,,
2012062106036,"Gjersøe, Ann-Christin",Sort engel,,2007,,nob,2007,,
2012062106037,"Gjersøe, Ann-Christin",Troløs,,2007,,nob,2007,,
2012062106038,"Gjersøe, Ann-Christin",Tårnsvaler,,2007,,nob,2007,,
2012062106051,"Elstad, Anne Karin",Odel,,2009,"2000-tallet, bondesamfunn, norsk, norske, prosa, romaner, skjønnlitteratur",nob,2009,,
2012062106085,"Stenersrød, Anette",Pysejenta,,2009,,nob,2009,,
2012062106087,"Hellstenius, Axel",Tatt av ras,,2012,,nob,2012,,
2012062106093,"Anderssen, Irene",Livet - i tanker og ord :,dikt : en bok til inspirasjon,cop. 2008,,nob,2008,,
2012062106111,"Lindberget, Amund",Lauvfallstid,,cop. 2006,,nob,2006,,
2012062106112,"Jensen, Jørn",Stian på karneval,,2012,"barnebøker, karneval, lettlest",nob,2012,,
2012062205003,"Bohlin, Kjell",Praktdyret Leif'n,,2008,,nob,2008,,
2012062205023,"Vik, Kjersti",Mandø,,2009,"2000-tallet, norske, romaner",nob,2009,,
2012062205028,"Hovden, Magne",Mgp,,2012,,nob,2012,,
2012062205051,"Lindell, Unni",Kjæresten om natten,,2011,"barnelitteratur, forelskelse, lettlest, norsk",nob,2011,,
2012062205053,"Johnsen, Svein-Arne",Skygger :,roman,cop. 2007,,nob,2007,,
2012062205054,"Nilsen, Synnøve Judith","Oldemor forteller om: familie, venner og hvite katter",,2011,,nob,2011,,
2012062205071,"Ejersbo, Jakob",Nordkraft :,roman,2011,,nob,2011,,
2012062205084,"Steinslett, Kjellaug",Straffen,,2011,,nob,2011,,
2012062205086,"Aspøy, Arild",Fredsfyrster :,thriller,2011,"kriminalromaner, litteratur, norsk, skjønnlitteratur, thriller",nob,2011,,
2012062205087,"Hagerup, Klaus",Markus er konge,,2011,,nob,2011,,
2012062205100,"Mysen, Christine",Uvenner,,2011,,nob,2011,,
2012062205102,"Blomseth, Hans-Jørgen",Barndommens rike,,2009,"50-tallet, 60-tallet, Melhus, Sør-Trøndelag, barndomsminner",nob,2009,,
2012062205110,"Hanssen, Tore H.K.",Bygdetullingen,,2010,,nob,2010,,
2012062205112,"Masterson, Louis",Morgan Kane og smuglerne,,cop. 2010,,nob,2010,,
2012062206141,"Nilsen, Ingar O.",Sanne og nesten sanne vitser og skrøner om bønder og byfolk i Oslo og Akershus,,[2006],,nob,2006,,
2012062206142,"Tungodden, Tore",Statsministeren,,2006,"barnebøker, norge, politikk, ungdomsbøker",nob,2006,,
2012062206180,"Harloff, Albert",La din vilje skje :,en annerledes konfirmasjon,cop. 2011,,nob,2011,,
2012062208189,"Östgård, Idun E.",Det hemmelige eventyret,,2008,"barn, billedbøker, eventyr",nob,2008,,
2012062505005,"Eriksen, Synnøve",Skredfare,,2012,,nob,2012,,
2012062505009,"Lien, Merete",Stemmer fra fortiden,,2006,,nob,2006,,
2012062505029,"Lægreid, Anne",Dager Anna husker,,2011,"1950-årene, familie, hverdagsliv, sorg, venner",nob,2011,,
2012062505041,"Johnsen, Kjetil",Tilbake fra de døde,,2011,,nob,2011,,
2012062505042,"Eriksen, Arne Thodok","Ikke skyt, bestefar :",kriminalkomedie,2010,,nob,2010,,
2012062505053,"Spurkland, Stein Inge",Og det ble mørkt :,en roman om menneskene bak en finanskrise,cop. 2011,,nob,2011,,
2012062505066,"Pedersen, Torgeir Rebolledo",Min fars tegnemaskin :,dikt,2008,"2000-tallet, dikt, norske",nob,2008,,
2012062505086,"Torgersen, Bård",Det siste dyret,,2008,,nob,2008,,
2012062505088,"Tusvik, Marit",Sigrid Finne :,roman,2008,"2000-tallet, datter, mor, norske, romaner",nob,2008,,
2012062505090,"Fossum, Karin",,,2010,,nob,2010,,
2012062505091,"Freihow, Halfdan W.",Du er ikke sann,,cop. 2009,"2000-tallet, norske, romaner",nob,2009,,
2012062505093,"Nygårdshaug, Gert",Klokkemakeren,,2010,,nob,2010,,
2012062505097,"Haavardsholm, Espen",Bildet på baksiden :,roman,cop. 2009,,nob,2009,,
2012062505098,"Hødnebø, Tone",Nedtegnelser :,dikt,2008,"2000-tallet, dikt, norske",nob,2008,,
2012062506064,"Andersen, Paal Bjelke",Dugnad,,2010,"dikt, litteratur, lyrikk, norsk",nob,2010,,
2012062506065,"Gahrton, Måns",Sommerkaos på gullkysten,,2011,"barnebøker, humor, lettlest",nob,2011,,
2012062506068,"Skomsvold, Kjersti Annesdatter","Jo fortere jeg går, jo mindre er jeg :",roman,2009,"2000-tallet, norske, romanar, romaner",nob,2009,,
2012062506071,"Surén, Odd W.",For hva det er verdt :,roman,2010,"2010-tallet, litteratur, norsk, norske, romaner",nob,2010,,
2012062506072,"Stoltz, Gerhard",Og alt det der :,(kun for neshorn),cop. 2007,"dannelsesromaner, dyr, litteratur, norsk",nob,2007,,
2012062506074,"Bakkeid, Heine T.",Vampyrjegeren,,2012,,nob,2012,,
2012062506092,"Kayser, Anne-Regina",Korridoren :,dikt og fortellinger,cop. 2011,,nob,2011,,
2012062506098,"Eriksen, Arne Thodok",To ekle fortellinger,,2010,,nob,2010,,
2012062506099,"Erichsen, Dorthe",Vinterhjerte,,2012,,nob,2012,,
2012062506105,"Ruhi, Pouria",Elyas på glattisen,,2011,"barnelitteratur, lettlest, norsk",nob,2011,,
2012062506111,"Bøgh Andersen, Kenneth",Dødspillen,,2010,,nob,2010,,
2012062506112,"Fossum, Karin",Svarte sekunder,,2010,,nob,2010,,
2012062506114,"Aarø, Selma Lønning",,,2008,,nob,2008,En rekke avbrutte forsøk,
2012062506115,"Brodin, Elin",Bivirkninger :,roman,2008,,nob,2008,,
2012062506124,"Ceder, Camilla",Frosset øyeblikk,,2011,,nob,2011,,
2012062506134,"Valeur, Tiril",Polly-Esther på søpla,,cop. 2012,"avfall, billedbøker, monstre, søppel",nob,2012,,
2012062506135,"Lund, Marianne Madelena",Krona kjører buss,,2011,,nob,2011,,
2012062605012,"Widmark, Martin",Sirkusmysteriet ; Svømmeknappmysteriet,,2012,,nob,2012,,
2012062605013,"Ringtved, Glenn",Hola Manolo,,2009,,nob,2009,,
2012062605015,"Läckberg, Camilla",Predikanten,,2006,,nob,2006,,
2012062606080,"Grue, Anna",Judaskysset,,2011,,nob,2011,,
2012062606084,"Hallberg, Lin",Sigges vennebok,,2008,,nob,2008,,
2012062606085,"Johansen, Ragnvald",-og så videre :,"elleve snutter om kjærlighet, ensomhet, samt sex og sånt",2011,,nob,2011,,
2012062606089,"Masterson, Louis",Djevelens marshal,,cop. 2011,,nob,2011,,
2012062606090,"Kjøsen, Erik",Soldråpe :,dikt,2011,,nob,2011,,
2012062705015,"Pedersen, Morten N.",Bo blir til overs,,cop. 2010,,nob,2010,,
2012062705018,"Thørring, Jorun",Glassdukkene :,kriminalroman,2006,"2000-tallet, krim, kriminallitteratur, kriminalromaner, norske, prosa, roman, romaner, skjønnlitteratur, spenning, tromsø",nob,2006,,
2012062705020,"Haavardsholm, Espen",Besøk på Ekely :,roman,2011,"2010-tallet, edvard, kunst, litteratur, munch, norsk, romaner",nob,2011,,
2012062705038,"Andersen, Lars",Tom Stender :,roman,cop. 2007,,nob,2007,,
2012062705068,"Åmodt, Tina",Anleggsprosa :,kortprosa,2011,,nob,2011,,
2012062705071,"Hansen, Thore",Hombabo og jeg møter indianere,,2009,"barnebøker, historie, indianere, tidsreiser",nob,2009,,
2012062705098,"Neverlien, Per",Katedralen i Metz :,kriminalroman,2007,,nob,2007,,
2012062705101,"Johnsen, Kjetil",Det farlige kysset,,2011,,nob,2011,,
2012062705105,"Bringsværd, Tor Åge",Tambar og sjøormen,,2011,"bildebøker, billedbøker, sjøormer, troll",nob,2011,,
2012062705112,"Hongset, Hogne",Skyggen,,cop. 2012,,nob,2012,,
2012062705117,"Ness, Trine",For en stund har vi alt vi trenger :,dikt,cop. 2011,"dikt, litteratur, lyrikk, norsk",nob,2011,,
2012062706001,"Johansen, Jorunn",Farlig fiende,,2010,,nob,2010,,
2012062706058,"Olaussen, Lars Christian",Sjøsigøyneren,,2008,"barnebøker, foreldre, misjon, misjonærbarn, rømning, sør-kina-havet, tsunami",nob,2008,,
2012062706060,"Røsth, Gro",Bror og noe som sier pip,,2011,lettlest,nob,2011,,
2012062706062,"Kværnstuen, May Lillian",Markblomster :,dikt,2012,,nob,2012,,
2012062706065,"Hansson, Ole Jørgen",Emolusjon,,2010,,nob,2010,,
2012062706066,"Jonassen, Per",Lange dager :,dikt,2008,"dikt, lyrikk",nob,2008,,
2012062706072,"Lundeby, Brit",Livsbetingelse :,dikt,2010,,nob,2010,,
2012062706076,"Sabro, Jan",Børre,,2011,,nob,2011,,
2012062706078,"Ewo, Jon",,,2008,,nob,2008,"En stor, farlig hund og to geniale oppfinnere",
2012062706096,"Aukrust, Kjell",Ludvig,,2009,"fortellinger, humor, litteratur, norsk",nob,2009,,
2012062706104,"Løveid, Cecilie",Nye ritualer :,dikt,2008,"2000-tallet, dikt, lyrikk, norsk, norske, poesi",nob,2008,,
2012062706108,"Horst, Jørn Lier",,,2008,,nob,2008,,
2012062706110,"Brenning, Alexander",Jeg er din bøddel :,roman,2006,"2000-tallet, norske, romaner, seksualitet",nob,2006,,
2012062706115,"Helberg, Berit",Tre små griser,,cop. 2008,,nob,2008,,
2012062706134,"Stensrud, Eva J.",Frihetens pris,,2011,,nob,2011,,
2012062706139,"Jaunn, Adele",Bjørn reiser med fly,,2011,,nob,2011,,
2012062706165,"Skogmo, Bjørn",Kortvarig lykke :,kortprosa i samling,2006,,nob,2006,,
2012062706174,"Stensrud, Eva J.",Frieri og fanteri,,2011,,nob,2011,,
2012062706175,"Holgersen, Brit",Ikonmaleren,,2005,"fortellinger, ikoner, kristenliv, legender, ortodokst, spiritualitet",nob,2005,,
2012062805012,"Didelez, Guy",Søte hevn,,2011,,nob,2011,,
2012062805016,"Oldebråten, Britt-Venke",Småtroll gir seg ikke :,fortellinger for barn 4-8 år,cop. 2009,,nob,2009,,
2012062805057,"Kruse, Lone",,,2005,"abc'er, barnebøker, billedbøker, bokstaver, nonsens",nob,2005,En litt tullerusk ABC,
2012062806004,"Erichsen, Dorthe",Julegaven,,2011,,nob,2011,,
2012062806005,"Egeland, Tom",Ulvenatten :,en Kristin Bye-thriller,2011,,nob,2011,,
2012062806013,"Lundberg, Jon Eirik",Skybrudd i regnskapet :,dikt,2008,,nob,2008,,
2012062806018,"Marskar, Astrid",Nattstier,,[2011],,nob,2011,,
2012062806029,"Bakkeid, Heine T.",De dødes hus,,2012,,nob,2012,,
2012062806035,"Frobenius, Nikolaj",Latours katalog :,roman,2006,,nob,2006,,
2012062806039,"Lapidus, Jens",Aldri fucke opp,,2011,,nob,2011,,
2012062806046,"Boge, Anne-Lise",Mistanken,,2012,,nob,2012,,
2012062806054,"Mysen, Christine",Araberhesten,,2010,,nob,2010,,
2012062806056,"Palm, Linda",Ti små vennebøker,,2011,,nob,2011,,
2012062806057,"Palm, Linda",Ti små vennebøker,,2011,,nob,2011,,
2012062806058,"Palm, Linda",Ti små vennebøker,,2011,,nob,2011,,
2012062806059,"Palm, Linda",Ti små vennebøker,,2011,,nob,2011,,
2012062806060,"Palm, Linda",Ti små vennebøker,,2011,,nob,2011,,
2012062806061,"Palm, Linda",Ti små vennebøker,,2011,,nob,2011,,
2012062806062,"Palm, Linda",Ti små vennebøker,,2011,,nob,2011,,
2012062806063,"Palm, Linda",Ti små vennebøker,,2011,,nob,2011,,
2012062806064,"Palm, Linda",Ti små vennebøker,,2011,,nob,2011,,
2012062806065,"Palm, Linda",Ti små vennebøker,,2011,,nob,2011,,
2012062806068,"Kjelsen, Reidar",Æsj!,,2010,"barnebøker, billedbøker, blokkbokstaver, bokstaver, lettlesebøker, lettlest, store",nob,2010,,
2012062806069,"Diep, Nhu",Lille Ting &amp; Tung &amp; Trang,,2011,"bildebøker, biletbøker, billedbøker, leik, lek, motsetnader, motsetninger",nob,2011,,
2012062806102,"Norelid, Agneta",Pinos vinterbok,,c2008,"billedbøker, vinter, årstider",nob,2008,,
2012062806106,"Vidnes-Kopperud, Bodil",Nilsen og Ne,,2011,"billedbøker, kosedyr, leggetid, spedbarn",nob,2011,,
2012062806118,"Sandnes, Rita Løvseth",Lovise og de førti røverne,,2009,lettlest,nob,2009,,
2012062806128,"Gustavsson, Per",Når prinser blir hjemme ; Prinsessens rockeband,,2012,,nob,2012,,
2012062806143,"Persson, Leif G.W.",Den som dreper dragen,,2011,,nob,2011,,
2012062806146,"Steen, Thorvald",,,2010,,nob,2010,,
2012062806155,"Aust, Kurt",Når døde hvisker :,kriminalroman,2012,,nob,2012,,
2012062806156,"Angelsen, Trine",,,2011,,nob,2011,,
2012062806160,"Aust, Kurt",Kongefrykt :,nest etter Gud,2011,,nob,2011,,
2012062806162,"Grane, Maria",Søster Sonja,,2011,,nob,2011,,
2012062905019,"Eikegard, Sven","Dissonanser, eller Stygge unoter i solsystemet &amp; omegn :",roman,2011,,nob,2011,,
2012062905025,"Nyborg, Line Merethe",Bare mamma som er Gud :,roman,2011,,nob,2011,,
2012062905027,"Skråmestø, Børge",Tårer i champagnen :,roman,2010,,nob,2010,,
2012062905031,"Tikkanen, Märta",Århundrets kjærlighetssaga,,2012,,nob,2012,,
2012062905032,"Eriksen, Synnøve",Syndefall,,2011,,nob,2011,,
2012062905033,"Eriksen, Synnøve",I spill og kjærlighet,,2011,,nob,2011,,
2012062905040,"Dijkman, Kristin",,,2011,,nob,2011,,
2012062905041,"Dijkman, Kristin Irén",Det kom ei jente gående :,et eventyr i ord og bilder,2011,,nob,2011,,
2012062905048,"Newth, Philip",Hannah Snell :,historisk roman,cop. 2006,"2000-tallet, historiske, lettlest, norske, romaner",nob,2006,,
2012062905050,"Nygårdshaug, Gert",Honningkrukken,,2011,,nob,2011,,
2012062905051,"Nygårdshaug, Gert",Alle orkaners mor,,2011,,nob,2011,,
2012062905052,"Nygårdshaug, Gert",Rødsonen :,roman,2011,,nob,2011,,
2012062905053,"Nygårdshaug, Gert",Jegerdukken,,2011,,nob,2011,,
2012062905055,"Nygårdshaug, Gert",Liljer fra Jerusalem,,2011,,nob,2011,,
2012062905056,"Eriksen, Synnøve",Sort enke,,2011,,nob,2011,,
2012062905061,"Hubred, Stein Aage",Tjernets hemmelighet,,2011,,nob,2011,,
2012062905080,"Erichsen, Dorthe",Storbyliv,,2011,,nob,2011,,
2012062905081,"Johansen, Jorunn",Nytt år,,2011,,nob,2011,,
2012062905094,"Erichsen, Dorthe",Jon og Julie,,2011,,nob,2011,,
2012062905099,"Roskifte, Kristin",Leilighetsdikt,,cop. 2011,"barnepoesi, bildebøker, billedbøker, boliger, dikt, humor",nob,2011,,
2012062905106,"Sandemo, Margit",Piken med sølvhåret ; Farlig flukt,,2005,,nob,2005,,
2012062905110,"Beerten, Els",Alle vil til himmelen,,2010,"belgia, flandern, kjærlighet, krig, tyskland, ungdomsbøker, verdenskrigen",nob,2010,,
2012062905120,"Strid, Jakob Martin",Min mormors gebiss,,cop. 2010,"barnebøker, bildebøker, billedbøker, dansk, dikt, humor, litteratur",nob,2010,,
2012062905126,"Vestreng, Helga",Arven fra Helga Vestreng,,cop. 2011,,nob,2011,,
2012062906008,"Bjørneboe, Sven Kærup",Skjærgårdsbrev :,vår misnøyes sommer,2011,"essays, litteratur, norsk",nob,2011,,
2012062906010,"Lykke, Nina","Orgien, og andre fortellinger",,2011,,nob,2011,,
2012062906011,"Kaaberbøl, Lene",,,2012,,nob,2012,"Et stille, umerkelig drap",
2012062906012,"Rafaelsen, Ellinor",,,2011,,nob,2011,,
2012062906013,"Meyer, Deon",Jegerens hjerte,,2012,,nob,2012,,
2012062906014,"Fredriksson, Marianne",Simon og eiketrærne,,2012,,nob,2012,,
2012062906037,"Engelstad, Reidun Solberg",Undring langs vegen :,dikt og foto,[2009],,nob,2009,,
2012062906046,"Persson, Per Andreas",Gud er glad i Norge :,noveller,2007,religiøsitet,nob,2007,,
2012062906051,"Hylleskaar, Hilde",Jeg vil være meg,,2011,"dagbok, identitet, litteratur, norsk, selvstendighet, ungdomsbøker",nob,2011,,
2012062906054,"Ortveit, Liv",Når øyet våkner :,dikt,2009,,nob,2009,,
2012062906056,"Esp, Camilla Henrikke",Konnotasjoner i metaspråk :,dikt,2011,,nob,2011,,
2012062906057,"Starmann, Leia",Mad,,2011,"litteratur, norsk",nob,2011,,
2012062906079,"Mostue, Sigbjørn",,,2010,"barnebøker, fantastisk, litteratur, trolldom, ungdomsbøker",nob,2010,,
2012062906081,"Holck, Cesilie",Lille hjelper :,roman,2011,"litteratur, norsk, roman",nob,2011,,
2012062906101,"Erichsen, Dorthe",Stormfull høst,,2011,,nob,2011,,
2012070205078,"Olsen, Pål Gerhard",Skikongen :,roman,2011,"1910-tallet, 2010-tallet, norske, romaner, ski",nob,2011,,
2012070205086,"Jensen, Marit Irene",Ved enden av regnbuen :,dikt,2011,,nob,2011,,
2012070205095,"Marklund, Liza",Nobels testamente,,2012,,nob,2012,,
2012070205106,"Ragde, Anne B.",Hallo! - Her er Jo!,,2006,"barnebøker, barnehager, familie, hverdager",nob,2006,,
2012070205112,"Sæther, Tor",Himmelen over- og havet hinsides :,en fortelling,cop. 2011,"2010-tallet, handelsflåten, historie, litteratur, norsk, norske romaner, roman, sjøfart, sjømenn",nob,2011,,
2012070206007,"Kristensen, Anita",Ondskapens skygge,,2007,,nob,2007,,
2012070206023,"Larsen, Tone",Polyester-kongen,,cop. 2011,,nob,2011,,
2012070206027,"Jensen, Tron",Uoppredd seng :,roman med algeriske damer,2012,"litteratur, norsk",nob,2012,,
2012070206030,"Lunde, Anders",Mørkerom,,2012,"2010-tallet, litteratur, norsk, norske, romaner",nob,2012,,
2012070206054,"Haugsbakken, Marit",Da mormor var liten var ingen ting farlig - og alle røkte,,[2012],,nob,2012,,
2012070206069,"Dahl, Tor Edvin",Sommeren da alt hendte :,kriminalroman,2011,"krim, litteratur, norsk, norske, romaner",nob,2011,,
2012070206089,"Hansen, Thore",Hombabo og jeg mater fuglene,,2008,"barnebøker, tidsreiser",nob,2008,,
2012070206090,"Ryan, Mildrid",Du :,roman,2009,,nob,2009,,
2012070206100,"Lahlum, Hans Olav",Satellittmenneskene,,2012,,nob,2012,,
2012070206123,"Pedersen, Bente",Første dans,,2006,,nob,2006,,
2012070206124,"Thorup, Torill",I ondskapens tjeneste,,2011,,nob,2011,,
2012070305002,"Hongset, Hogne",Skyggen,,cop. 2011,"2010-tallet, lange-utbyggingen, litteratur, norsk, norske, ormen, petroleumsvirksomhet, roman, romaner, statfjord1",nob,2011,,
2012070305003,"Hagmar, Pia",Saras seier,,cop. 2007,,nob,2007,,
2012070305012,"Wahl, Mats",Når det kommer en elsker,,2009,"familien, flytting, skolemiljø, søsken, ungdomsbøker",nob,2009,,
2012070305018,"Jensen, Jørn",Hevnens labyrint,,2011,"grunnskole, lesetrening, lærebøker, norsk, tilleggslitteratur06",nob,2011,,
2012070305019,"Nilsen, Ole-Mikal",Det gule gjenferd,,2009,,nob,2009,,
2012070305021,"Bross, Helena",Venner igjen,,2012,"uvenner, venner",nob,2012,,
2012070305051,"Loe, Erlend",Kurt 4,,2009,"barnelitteratur, norsk",nob,2009,,
2012070305058,"Wergeland, Henrik","Hassel-nødder med og uden kjerne, dog til tidsfordriv, plukkede af min henvisnede livs-busk",,2008,"litteratur, norsk, skjønnlitteratur",nob,2008,,
2012070305127,"Holmsen, Merete",Mens Rasmus er på sykehus,,2006,"barn, billedbøker, mus, sykehus, søsken",nob,2006,,
2012070305132,"Linnestå, Aasne",Utland :,roman,2006,"romaner, skjønnlitteratur",nob,2006,,
2012070306006,"Espeland, Arne",Vårherres palett :,Lista,2008,"amerikafeber, emigrasjon, lista, migrasjon, usa, utvandring",nob,2008,,
2012070306007,"Duve, Bjørg",Bare himmelen smiler :,dikt,2012,,nob,2012,,
2012070306015,"Nilsen, Ole-Mikal",,,2009,skrekk,nob,2009,,
2012070306021,"Thorsson, Reidun",Hvorfor gråter aldri stjernene?,,2012,,nob,2012,,
2012070306022,"Lien, Merete",Rebekkas arv,,2011,,nob,2011,,
2012070306029,"Sværen, Jørn H.",Dronning av England,,2011,"dikt, korttekster, litteratur, norsk, poesi",nob,2011,,
2012070306043,"Prøis, Christin Grilstad",Vinternatt,,2012,,nob,2012,,
2012070306050,"Knudsen, Morten",Ville Petter Edderkopp,,cop. 2010,,nob,2010,,
2012070306103,"Bross, Helena",Ring 113!,,2010,,nob,2010,,
2012070306115,"Moi, Toril",Ibsens modernisme,,2006,"drama, estetikk, idealisme, kvinner, litteraturhistorie, modernisme, norsk, realisme, teater, verkanalyser",nob,2006,,
2012070306128,"Olsen, Pål Gerhard",I den røde solens lys :,roman,2007,"2000-tallet, norske, romaner",nob,2007,,
2012070306132,"Risvik, Grete",Baby love :,sånn blir en synd og en skyld betalt,2011,psykodrama,nob,2011,,
