,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2013071808103,"Henriksen, Levi",Engelen i djevelgapet,2013,"barn, foreldre, krim, spenning, ungdom",nob,2013,,,
2013071938002,"Cecil, Lauren",Vinter i Hundremeterskogen,cop. 2012,"snø, vinter",nob,2012,,,
2013072208084,"Cast, P.C.",Utvalgt,2011,,nob,2011,,,
2013072408128,"Kristensen, Ingunn",Olav den heilage,2011,,nno,2011,,,
2013073006068,"Godfrey, Jan",,2006,,nob,2006,,En stjerneklar natt,
2013073106053,"Ousland, Bjørn",Alt om ski,2010,"barn, bildebøker, billedbøker, historie, ski, skisport",nob,2010,,,
2013073108059,"Mysen, Christine",I sikkerhet,2011,,nob,2011,,,
2013080706156,"Movafagh, Ksenia",Fantorangens myldrebok,2008,"byer, fjell, lete, oppdagelsesreiser, reiser, skog, universet, vann",nob,2008,,,
2013081208065,"Lore, Pittacus",De siste seks,2012,,nob,2012,,,
2013081208095,"Lien, Asbjørn",Sommeren med Balder,cop. 2007,,nob,2007,,,
2013081906031,"Olsson, Lotta",Morris hos frisøren,2007,"barn, billedbøker, hund",nob,2007,,,
2013082706110,"Johansen, Eldrid",Øremerket,2008,"barn, barnebøker, bokstaver, dyr, hunder, lettlesingsbøker, store",nob,2008,,,
2013082708226,"Skeie, Eyvind",Tarkus og vennene hans,cop. 2005,"barn, barnebøker, trafikk, trafikkopplæring, trafikksikkerhet",nob,2005,,,
2013082808026,"Bringsværd, Tor Åge",Karsten og Petra kler seg ut ; Karsten og Petra på biblioteket,2011,"barnehager, billedbøker, karneval, utkledning",nob,2011,,,
2013090206001,"Halvorsen, Kristian T.",I min fars hus er det mange rom,2006,,nob,2006,,,
2013090206069,"Hansen, Hans Chr.",Klara går på line,2008,,nob,2008,,,
2013090506068,"Alant, Lise",Vielppis ja mun :,2005,"davvisqmegillii, eŋgelasgillii, ja, nuoramus, oahppogirji, ohppiide",mul,2005,mu vuosttaš skuvlagirji = The puppy and I : my first schoolbook,,
2013091306017,"Tjønn, Brynjulf Jung",I morgen skal vi sitte i solen,2009,"dysfunksjonell, familie, mor, mødrebarnebøker, omsorgssvikt, psykisk, syk",nob,2009,,,
2013091306097,"Jensen, Jørn",Stian på sykkelløp,2010,,nno,2010,,,
2013091606019,"Ross, Tony",Jeg vil ha middagen min!,cop. 2008,høflighet,nob,2008,,,
2013091606021,"Asbjørnsen, P. Chr.",Norvegu̢ pasakos =,cop. 2009,,mul,2009,Norske folkeeventyr,,
2013091606025,"Asbjørnsen, P. Chr.",Qiṣaṣ al-turāth al-sha'bī al-narwījī =,cop. 2009,,mul,2009,Norske folkeeventyr,,
2013091606158,"Isachsen, Haakon W.",Olsenbanden jr på Cirkus,2006,,nob,2006,,,
2013091638067,"Holdhus, Helen E.",Jeg vil bygge mitt land :,[2010?],"eiksmarka, flerkulturell, glutenfri, mat, oppskrifter, skole",nob,2010,en matreise for unge kokker,,
2013091706057,"Moore-Mallinos, Jennifer.",Mamma har kreft,cop. 2009,"barn, foreldre, kreft, sykdommer",nob,2009,,,
2013091838045,"Poole, Josephine",Anne Frank,cop. 2007,"2.verdeskrig, barnebøker, holocaust, jødeforfølgelser",nob,2007,,,
2013091905015,"Engström, Mikael",Dogge,2009,"barnebøker, gjenger, oppvekstmiljø",nob,2009,,,
2013091905045,"Kjeldset, Tania",Kanskje kommer aldri,2011,,nob,2011,,,
2013091905079,"Vindenes, Eivor",Alt kan reparerast :,2009,"barnebøker, humor, jul",nno,2009,ei slags julehistorie,,
2013092407046,"Janisch, Heinz",Heldige Jemini,cop. 2007,"biletbøker, billedbøker, kjærlighet, skjønnlitteratur, tall",nno,2007,,,
2013092506140,"Christiansen, Pål H.",Morten møter mamma,2010,"barnebøker, billedbøker, blokkbokstaver, bokstaver, lettlest, lettlestbøker, store, versaler",nob,2010,,,
2013092508008,"Alveng, Kristine Aksøy",Kort &amp; godt :,2006,,nno,2006,for konfirmanten,,
2013092508050,"Viermyr, Marianne",Fy katte!,cop. 2006,"billedbøker, fødselsdag, gaver, katter, søsken",nob,2006,,,
2013092606028,"Long, Hayley",Lottie Biggs er ikke desperat,2011,"forelskelse, mestring, ungdomsbøker",nob,2011,,,
2013092708058,"Goldsack, Gaby",Travel traktor,2006,,nob,2006,,,
2013093038103,"Sauermann, Marcus",Når mamma blir eit monster,cop. 2013,"barn, barnebøker, biletbøker, billedbøker, depresjoner, foreldre, samlivsbrudd, skilsmisser, skjønnlitteratur",nno,2013,,,
2013100206019,"Murphy, Jill",,[2008?],,nob,2008,,En stille kveld,
2013100305150,"Mjelva, Marianne",Historien om hester :,cop. 2010,,nob,2010,treningskamerat og bestevenn,,
2013100738021,"Wisløff, Ellen-Marie",Barnas sjøvettsbok,2012,"badevett, sjøvett",nob,2012,,,
2013100738025,"Tanveer, Javaria",Profeten Ismail :,2011,"billedbøker, koranen",nob,2011,historier for barn fra Koranen,,
2013100906044,"Campanella, Marco",Marvins mamma begynner å jobbe,cop. 2010,,nob,2010,,,
2013101706006,"Gardner, Rachel",Elsket :,cop. 2010,,nob,2010,"gutter, kropp og det å bli en jente av gull",,
2013101706125,"Buckeridge, Anthony",Stompa passer gullfisk,2012,,nob,2012,,,
2013102305032,"Vinje, Kari",Ekornløven,2009,,nob,2009,,,
2013102406038,"Aspås, Anne-Berit",Nesten som magi,2008,"annerledes, barn, barnebøker, lek, vennskap",nob,2008,,,
2013102505111,"Rodari, Gianni",Nasen som stakk av,2006,"barnebøker, lettlesningsbøker, lettlestbøker, nonsens, skjønnlitteratur",nno,2006,,,
2013102507019,"Ramos, Mario",Jeg er sterkest,2010,"barnelitteratur, fransk",nob,2010,,,
2013102806002,"St. John, Lauren",,2010,,nob,2010,,,
2013102806035,"Asbjørnsen, P. Chr.",Norweskie bajki ludowe =,cop. 2009,,mul,2009,Norske folkeeventyr,,
2013102806047,"Allen, Jonathan","""Jeg er ikke søt!""",2007,"leggetid, ugler",nob,2007,,,
2013102806111,"Eidem, Kristin Dorothea",De mystiske flisene :,2010,,nob,2010,en barnefortelling,,
2013102905035,"Giil, Berit Hellem",Tonje i treet,cop. 2005,"akseptere, barnebøker, lettlesingsbøker, seg, selv",nno,2005,,,
2013102906011,"Nimmo, Jenny",Midnatt for Charlie Bone,2007,,nob,2007,,,
2013102906099,"Aasmundtveit, Anne Kristin",Gule roser til pappa,cop. 2006,"barn, barnebøker, biletbøker, død, døden, sorg, sorgarbeide, sorgbearbeidelse, sykdom, trøst, voksne",nob,2006,,,
2013103005082,"Sandin, Joan",Heime i det nye landet,cop. 2007,,nno,2007,,,
2013103006055,"Collins, Suzanne",Opp i flammer,2009,,nob,2009,,,
2013103105032,"Ros, Katarina",Se opp! Blåulver!,2008,,nob,2008,,,
2013103105039,"Dybvig, Ingeborg",Diamantjakten,2012,,nob,2012,,,
2013110126003,"Prøysen, Alf",Mrs Pepperpot and the treasure,2007,,eng,2007,,,
2013110138028,"Prøysen, Alf",Mrs Pepperpot at the bazaar,2013,,eng,2013,,,
2013110405009,"Jensen, Jørn",Kasper spiller realt,2006,"barnebøker, fotball, lettlesingsbøker",nob,2006,,,
2013110405040,"Ringtved, Glenn",Tilbudet,2010,,nob,2010,,,
2013110508027,"Olsson, Sören",Det mystiske kysset,cop. 2005,,nob,2005,,,
2013110508268,"Piper, Sophie",Jesus og fiskarane,cop. 2009,,nno,2009,,,
2013112606045,"Kerr, Philip",Lampeåndens barn,2009,,nob,2009,,,
2013112606091,"Ayres, Jane",Mørke hemmeligheter,2009,,nob,2009,,,
2013112806058,"Øien, Jan-Kåre",Gjøken i klokka,2010,"billedbøker, dyr, gjøkfugler, gjøkur, vennskap, vinter",nob,2010,,,
2013112806066,"Price, Katie",Dina ordner opp,2009,,nob,2009,,,
2013120306149,"Sortland, Bjørn",Oslo-mysteriet ; Paris-mysteriet,2007,"barn, krimbøker, kunst, lettleste, skjønnlitteratur, spenningslitteratur",nob,2007,,,
2013120308100,"Prøysen, Alf",Goartilguhkkosaš-áhkku muorjemeahcis,2010,,sme,2010,,,
2013120406045,"Andreassen, Solveig Austenå",Silje og Aina ordner opp,2010,,nob,2010,,,
2013120406046,"Blomquist, Lise",Blåveispiken,2008,,nob,2008,,,
2013120605058,"Lundberg, Helene S.",Selvgjort - så klart!,2007,,nob,2007,,,
2013120606034,"Holm, Anna Maria Have",Viktoria slår tilbake,2008,"angst, fengsel, mobbing, overgrep, seksuelle, traumer, ungdom, ungdomsbøker, ungdomsfengsel, ungdomskriminalitet, vold",nob,2008,,,
2013120606078,"Nicolaysen, Marit",,2009,humor,nob,2009,,,
2013120905136,"Ertsås, Tor Håvard",Mytteriet på Den onde havfrue,2008,,nob,2008,,,
2013120906138,"Dhami, Narinder",Bindi babes,2009,barnelitteratur,nob,2009,,,
2013120908041,"Løvland, Roy-Frode",Gabrielle,cop. 2006,"barnebøker, engler, juleevangeliet",nob,2006,,,
2013121006087,"Kirkegaard, Ole Lund",Gummi-Tarzan,2010,,nno,2010,,,
2013121206036,"Croser, Josephine",Kong Midas,2007,,nno,2007,,,
2013121805059,"Åkerblom, Gull",Smak på denne! :,2008,"kjærleik, kjærlighet, litteratur, svensk, vennskap",nno,2008,sjuande boka om Moa og Samuel,,
2014010708289,"Nesbø, Jo",Doktor Proktor og verdens undergang. Kanskje,2010,"barnebøker, barnelitteratur, nonsens, norsk",nob,2010,,,
2014011008067,"Sivle, Per",Fante-Nils :,2005,,nob,2005,"en hjertevarmende historie om en ung gutt som var ""annerledes""",,
2014011508145,"Pullman, Philip",Grev Karlstein,2008,,nob,2008,,,
2014012906039,"Buljo, Karen Anne",Kristoffer ja Lálla,2010,,sme,2010,,,
2014020406025,"Eira, Ragnhild Gaup",Gollegiissáš,2006,"davvisámegillii, muitalusgirji",sme,2006,,,
2014020406032,"Caspersen, Per Kvaale",Luottat muohttagis,2010,,sme,2010,,,
2014021106069,"Hovland, Ragnar",Fredlaus :,2008,"identitet, norsk, rømning, skilsmisse, skjønnlitteratur, ungdomsbøker",nno,2008,roman,,
2014021706038,"Bennett, Sophia",Tråder,2010,,nob,2010,,,
2014021806041,"Johnsen, Kjetil",Pakket i plast,2007,,nob,2007,,,
2014021806077,"Lewis, C.S.",Reisen til det ytterste hav,2010,,nob,2010,,,
2014021806124,"Gripe, Maria",Skyggen over steinbenken,cop. 2011,,nob,2011,,,
2014021906318,"McClintock, Norah.",,2011,,nob,2011,,Et nett av løgner,
2014022006018,"Simon, Francesca",Rampete Robin og talentkonkurransen,2010,,nob,2010,,,
2014022106043,"Frizzell, Colin","J, rett og slett!",2008,,nob,2008,,,
2014022406106,"Torkildsen, Terje",Dystopia 2014,2011,"dystopier, fantastisk, litteratur, ungdomsbøker",nno,2011,roman,,
2014022605053,"Dixon, Franklin W.",Falsk alarm,2011,,nob,2011,,,
2014022708019,"Hesjedal, Ragnhild N.",Totten,cop. 2006,,nno,2006,,,
2014022806008,"Hølleland, Øistein",Det siste landet,2010,"barnebøker, oppdagelsesreiser, sjøreiser",nob,2010,,,
2014022808049,"Kvasbø, Alf",Nærkamp,cop. 2005,,nob,2005,,,
2014030406005,"Meadows, Daisy",Midnattsalven Morgan,cop. 2011,,nob,2011,,,
2014030406010,"Rønneseth, Evelina",Eline,2011,,nob,2011,,,
2014030506079,"Bjerkli, Myriam H.",Mickel i mål,2009,fotball,nob,2009,,,
2014031006074,"Hagerup, Klaus",Zolota veža,2011,,mul,2011,,,
2014031008039,"Dumas, Alexandre",Greven av Monte Christo,2008,,nob,2008,,,
2014031106054,"Renberg, Tore",Trillefolket :,2011,"barnebøker, ensomhet, vennskap",nob,2011,hva hendte med Kjartan?,,
2014031306048,"Goldsack, Gaby",Fem minutters historier :,2009,,nob,2009,førti spennende fortellinger,,
2014031406026,"Lindqvist, Anders",P.A. Pillays magiske sommer,2006,,nob,2006,,,
2014031406076,"Raven, Emma",Forfølgelse i skumringen,2011,,nob,2011,,,
2014032805106,"Dyrby, Bent",Trix :,c2007,,sme,2007,rehkenastinmuitalusat,,
2014040206065,"Pliassova, Marina",Marinas mesterstykker,cop. 2006,"klaver, piano, pianoundervisning, undervisning",nob,2006,,,
2014040408008,"Klepp, Anneli",Tor gjemmer seg,2009,"barn, barnebøker, lek, lesing, lettlest",nob,2009,,,
2014041406004,"Löfgren-Mårtenson, Lotta","Elsker, elsker ikke",cop. 2011,,nob,2011,,,
2014041406063,"Sivertsen, Caroline Sofie.","Det evige ""hvorfor?"" :",cop. 2011,,nob,2011,107 spørsmål fra Caroline,,
2014042407074,"Schou Hansen, Gitte",Gøy for barn med filt og garn,2011,,nob,2011,,,
2014042407097,"Adams, Simon",Arkeologidetektivene :,cop. 2011,"arkeologi, barnebøker, historie",nob,2011,avslør fortiden,,
2014042407160,"Buljo, Karen Anne",Nieidagorži,2011,"bildebøker, biletbøker, billedbøker, sagn, samiske, segner",mul,2011,,,
2014042906091,"Loughead, Deb",Bjørnesommer!,2011,,nob,2011,,,
2014042906135,"Sunne, Linn T.",Saiko,2011,"barnebøker, forelskelse, homofili, sommer, ungdomsbøker, utpressing",nno,2011,,,
2014050706093,"Meyer, Stephenie",Ved daggry,2011,,nob,2011,,,
2014050805038,"Walsch, Neale Donald",,cop. 2007,,nob,2007,,,
2014050805087,"Cassidy, Anne",Jakten på Jennifer Jones,2005,,nob,2005,,,
2014051505023,"Lindgren, Astrid",Rasmus på loffen,2011,,nob,2011,,,
2014051906104,"Ende, Michael","Momo, eller Kampen om tiden",2010,"barn, barnebøker, eventyr, fantastisk, fantasy, klassikere, tid",nob,2010,,,
2014052605066,"Peterson, Monique",Walt Disney's Peter Pan,cop. 2007,,nob,2007,,,
2014060205017,"Hartnett, Sonya",Sølveselet,2011,"australskbarnelitteratur, barnebøker, fortellinger, frankrike, krig, soldater",nob,2011,,,
2014060208087,"Feth, Monika",,2005,"barnebøker, jul, julenisser",nob,2005,,,
2014060506051,"Hauptmann, Gaby",Kaya vil videre,2007,,nob,2007,,,
2014060506063,"Diersch, Sandra",Under overflaten,2011,"kroppsmodifikasjon, skulptur",nob,2011,,,
2014061105002,"Rubach, Anita Louise",Blå latter fra Blåklokkelia,cop. 2011,,nob,2011,,,
2014061105094,"Bøgh Andersen, Kenneth",Ondskapens engel,2011,,nob,2011,,,
2014061106019,"Brenifier, Oscar",Kjærlighet og vennskap,2010,"barn, billedbøker, filosofi, følelser, kjærlighet, vennskap",nob,2010,,,
2014061206165,"Grossmann, Kari",Malvin i den ville naturen,2010,"billedbøker, natur, overnatte, uteliv",nob,2010,,,
2014061606174,"Røren, Ragnhild","Ikke gi deg, Hanne!",2007,"leseløve, lettlest, ski, slalom, spenning",nob,2007,,,
2014061608118,"Smedal, Synnøve",,2007,"aktiviteter, barneleker, bursdager, gjetteleker, leker, ringleker, sangleker, selskapsleker, stafetter, temafester, uteleker",nob,2007,,,
2014061805024,"Bečević, Zulmir",Svenhammeds journaler,2010,"familien, innvandrere, sverige, ungdom, ungdomsbøker",nob,2010,,,
2014061805046,"Stokholm, Steen",Arsenal,cop. 2011,,nob,2011,,,
2014061806182,"Rivett, Rachel","Er du trist, Lillebjørn? :",2010,,nob,2010,en bok om å lære å ta farvel,,
2014061906024,"Ewo, Jon",Totales wipeout i Atlant :,2011,"fantastisk, fantasy, litteratur, ungdomsbøkerengler, ungdomsromaner",nob,2011,av englenes krøniker,,
2014061906130,"Vågen, Tommy",Tools,2011,,nob,2011,,,
2014062006127,"Kirkegaard, Ole Lund",Frekke Fredrik :,cop. 2009,"arbeidsmoral, barnelitteratur, billedbøker, dansk, humor, latskap",nob,2009,fortellingen om en lat gutt,,
2014062307259,"Törnblom, Mia",Det er ditt liv!,2010,,nob,2010,,,
2014062405029,"Colfer, Eoin",Halvmåne detektivbyrå,2007,,nob,2007,,,
2014062405073,"Bøgh Andersen, Kenneth",Djevelens læregutt,2009,"djevelen, helvete, mobbing",nob,2009,,,
2014062407009,"Hågvar, Frøydis Benestad",Litt annerledes i Piraten barnehage,2007,"albinisme, allergi, astma, barn, barnehager, bevegelseshemmede, bevegelseshemninger, billedbøker, blinde, diabetes, døve, funksjonshemmede, funksjonshemming, hørselshemmede, hørselshemning, synshemmede, synshemning",nob,2007,,,
2014062407059,"Janouch, Katerina",,2009,"barn, bildebøker, litteratur, svensk",nob,2009,,,
2014062407176,"Hætta, Sylvia V.",Gárdun,2006,"ja, mánánidgárddiide, oahppogirji, smávvaskuvliidavvisámegillii, snarefangst",sme,2006,,,
2014062407194,"Broomé, Elisabet",Hei lillebror,2006,"babyer, billedbøker, fotografisk, gutter, pekebøker, spedbarn, søsken",nob,2006,,,
2014062505016,"Hagen, Oddmund",Knute,2007,"barnebøker, biletbøker, billedbøker, mestring, skilsmisse, skolestart, sorg",nno,2007,,,
2014062505051,"Røssland, Ingelin",Monstertanta :,2009,,nno,2009,roman,,
2014062505078,"Nygaard, Gunvor Andbo",Trollfjellet :,2010,,nob,2010,en fortelling om trollfolket i Tron,,
2014062548103,"Blom, Kirsti","Snø, is og klima",2008,"barnebøker, bilder, breer, is, klima, populærvitenskap, snø",nob,2008,,,
2014062548123,"Olaussen, Lars Christian",Søren Slamkryper til topps,2006,"annerledes, billedbøker, drøm, fisker, slamkrypere",nob,2006,,,
2014062548142,"Love, Carrie",Jeg kan tegne maskiner,2008,,nob,2008,,,
2014062607096,"Schwiebert, Pat.",Tåresuppe :,2010,"amerikansk, barn, død, litteratur, savn, sorg, sorgarbeid",nob,2010,en oppskrift på heling etter tap,,
2014062707112,"Jansson, Tove",Mummi :,2010,"barnebøker, finland, tegnekunst, tegneserier",nob,2010,Tove Janssons samlede tegneserier,,
2014062707162,"Odgers, Sally",Titanic,2008,,nob,2008,,,
2014070105092,"Falls, Kat",Mørkt liv,2011,,nob,2011,,,
2014070107075,"Ryan, Denise",Vill natur,cop. 2011,natur,nob,2011,,,
2014070108089,"Hagerup, Hilde",Løvetannsang,2007,,nob,2007,,,
2014070205054,"Nøsterberget, Anette",Inspirasjonshefte,cop. 2008,"dramatisering, kunstfag, litteratur, musikk, sang, storyline, tverrfaglig, undervisningsopplegg",nob,2008,,,
2014070206039,"Dakin, Glenn",Istid :,2007,istiden,nob,2007,den store oversikten,,
2014070305060,"Stehn, Malin",Talentkonkurransen,2006,,nob,2006,,,
2014070306008,"Lessmann, C.B.",Popstjerner og pinligheter,2006,,nob,2006,,,
2014070306061,"Dixon, Franklin W.",Fang tyven!,2011,,nob,2011,,,
2014070406050,"Riordan, Rick",Titanens forbannelse,2010,"amerikansk, barnelitteratur",nob,2010,,,
2014070406069,"Lawton, Wendy",I skyggen av Hans hånd :,cop. 2006,,nob,2006,en fortelling basert på livet til Anita Dittman - overlevende etter Holocaust,,
2014070406072,"Scheen, Kjersti",Han bare falt,2008,"barn, døden, foreldre, forelskelse, homofili, rollespill, selvmord, sorg, ungdomsbøker",nob,2008,,,
2014070805101,"Damm, Heidi Kahrs",Simen + månen,[2009],"barn, billedbøker, bliss, funksjonshemmede, symbolspråk",nob,2009,,,
2014070805108,"Horndal, Sissel",Himmelspringaren,2008,"annerledes, biletbøker, billedbøker, sauer",nno,2008,,,
2014070807032,"O'Connor, Jane",Stilige Stina,cop. 2008,,nob,2008,,,
2014070807081,"Qassim, Andreas",Tanimal,cop. 2009,,nob,2009,,,
2014070905042,"Campanella, Marco",Marvin Mus skal overnatte hos Besse og Besta,cop. 2010,,nob,2010,,,
2014070907056,"Ganeri, Anita",Vår ville verden,2008,"barnebøker, barnelitteratur, dyr, faktabøker",nob,2008,,,
2014070907058,"Potter, Beatrix",,cop. 2011,"kaninar, kaniner",nob,2011,,,
2014070907209,"Harris, Nathaniel",Globalisering,cop. 2008,"globalisering, handel, internasjonal, politikk, økonomi",nob,2008,,,
2014070907231,"Ryan, Denise",Steiner,2008,"barn, billedbøker, fakta, mineraler, mineralogi, steiner",nob,2008,,,
2014071006035,"Neel, Julien",Dagboksdager,cop. 2011,,nob,2011,,,
2014071007007,"Reftel, Johan",Con Dios,cop. 2008,,nno,2008,,,
2014071608283,"Nygaard, Martin",Godteposen,2005,,nob,2005,,,
2014072308059,"Ewo, Jon",,2006,"barn, danmark, historie, norge, sverige, union, utvandring",nob,2006,,,
2014072906042,"Berggren, Arne",,2008,,nob,2008,,,
2014072906087,"Nilsson, Moni",Tsatsiki og kjærligheten,2006,,nob,2006,,,
2014073005107,"Simon, Francesca",Rampete Robin og tidenes tøffeste tidsmaskin,2008,,nob,2008,,,
2014073106019,"Kipling, Rudyard",Hvordan elefanten fikk snabel - og andre fortellinger,2007,"barnebøker, bildebøker, dyr, dyrefabler, fabler, fortellinger",nob,2007,,,
2014073108064,"Boehme, Julia",Monsteret på loftet - og andre historier om hemmeligheter,2007,"barn, barnebøker, bøker, lese, lett, lettlest",nob,2007,,,
2014073108152,"Jensen, Jørn",Kasper skårer med hælen,2006,"barnebøker, fotball, lettlesingsbøker",nob,2006,,,
2014080108083,"Lindgren, Astrid",Pippi Langstrømpe på sirkus,2006,,nob,2006,,,
2014080508111,"Rosenlund, Petter S.",Sara sover :,2006,,nob,2006,stykke i to akter,,
2014081405072,"Cowell, Cressida",Pirathåndboka,2010,"barnelitteratur, drager, engelsk, humor, vikinger",nob,2010,,,
2014081508356,"DiTerlizzi, Tony",Spiderwick-krønikene 1-5,2008,"barnelitteratur, fantasy",nob,2008,,,
2014082508215,"Skeie, Eyvind",Musedyret tar bussen,cop. 2005,"billedbøker, trafikk, trafikkopplæring",nob,2005,,,
2014082708011,"Lewis, C.S.",Hesten og hans gutt,2006,,nob,2006,,,
2014090408003,"Lessmann, C.B.",Venner tross alt,2007,,nob,2007,,,
2014090908154,"Ardagh, Philip",Eddie Dickens-trilogien,2006,,nob,2006,,,
2014090908199,"Aamodt, Ingunn",Kannibalen,2007,,nob,2007,,,
2014091006088,"Scheen, Kjersti",Villas vals,2005,,nob,2005,,,
2014091708195,"Ewo, Jon",Mannen fra graven,2007,"grøssere, spenning, ungdom",nob,2007,,,
2014092506110,"Eliassen, Ruben",Ibenholtpyramiden,cop. 2006,,nob,2006,,,
2014092508004,"Simon, Francesca",Rampete Robins store fæle bok,2007,,nob,2007,,,
2014092906011,"Jensen, Jørn",Stians far lager mål,2007,"fotball, lettlest",nob,2007,,,
2014100106008,"Moe, Jørgen",I brønnen og i tjernet,2013,,nob,2013,,,
2014100338110,"Eriksen, Endre Lund",,2009,,nob,2009,,En terrorist i senga,
2014100338152,"Sinimeri, Carmen",Storskogens hemmelighet,2005,,mul,2005,,,
2014100807559,"Berner, Rotraut Susanne",Sommar-vrimlebok,cop. 2006,"biletbøker, billedbøker, bysamfunn, dagligliv, skjønnlitteratur, sommar, sommer",nno,2006,,,
2014100907560,"Aigner-Clark, Julie",Gårdsdyr,cop. 2005,,nob,2005,,,
2014100907563,"Davenport, Andrew",,2010,,nob,2010,,,
2014101308107,"Horowitz, Arthur",Nekropolis,2009,,nob,2009,,,
2014101408245,"Buzzati, Dino",,2008,,nob,2008,,,
2014101506111,"Haugland, Sven",Eg vil lære å rekne,2011,,nno,2011,,,
2014102106011,"Brooks, Felicity",Tálla,2006,"julevsábmáj, mánáidgirji, tall",smj,2006,,,
2014102108210,"DeMatteis, J.M.",Drømmetyven,2006,,nob,2006,,,
2014102108238,"Grace, N.B.",High school musical :,2007,,nob,2007,ungdomsroman,,
2014102108268,"Lund, Reidar",Kjære Halvor,2010,"barn, fedre, foreldre, ungdom, ungdomsbøker, vennskap",nob,2010,,,
2014102108281,"Jensen, Jørn",Kasper trener på hjørnespark,2007,"barnebøker, fotball, lettlesingsbøker",nob,2007,,,
2014102806006,"Stahl, Hilda",Mysteriet med den gjemte nøkkelen,cop. 2005,,nob,2005,,,
2014103007636,"Eikeseth, Unni",Newton :,cop. 2006,"barnebøker, eksperimenter, faktabøker, naturvitenskap",nob,2006,barnas store vitenskapsbok,,
2014103007654,"Tutt, Keith",Pablo møter naboane,cop. 2009,"biletbøker, billedbøker, revar, rever",nno,2009,,,
2014103007663,"Vestheim, Gry",Maja og mormor leker gjemsel,2008,,nob,2008,,,
2014103007743,"Tibballs, Geoff",Ripley's believe it or not! :,2011,usa,nob,2011,hvis du tør-,,
2014110407551,"Holm, Dagny","Grevlingen, bokfinken og den hemmelige skatten",2010,,nob,2010,,,
2014110407615,"Lee, J.H.",Boo :,cop. 2011,"barn, billedbøker, hunder",nob,2011,livet med verdens søteste hund,,
2014110407648,"Miler, Zdeněk",Muldvarpen feirer jul,2010,,nob,2010,,,
2014110407689,"Peters, Stephanie",På eventyr med Tintin,cop. 2011,,nob,2011,,,
2014110448197,"Starke, Katherine",Hunder og valper,cop. 2005,,nob,2005,,,
2014110708140,"Moers, Walter",Kaptein Blåbjørns 13 1/2 liv :,2006,"barnebøker, fantasi, fantastisk, litteratur, ungdomsbøker",nob,2006,halvparten av livserindringene til en havbjørn ...,,
2014111007510,"Bøe, Sissel",Røtter :,2011,"billedbøker, troll",nob,2011,en historie om troll,,
2014111008120,"Ragde, Anne B.",På kloss hold :,2006,,nob,2006,roman,,
2014111107543,"Cullis, Megan",Flaggermus,2010,,nob,2010,,,
2014111107545,"Gulbrandsen, Liv",Rebekka :,cop. 2006,,nob,2006,den natta jeg ble født,,
2014111107554,"Mayer, Kristen",Tintins dristige flukt,2011,,nob,2011,,,
2014111108078,"Ambjørnsen, Ingvar",Storbyens stemme,2007,,nob,2007,,,
2014111407589,"Howard, Conrad",Prinsessen på erten,cop. 2009,,nob,2009,,,
2014111707512,"Johansen, Eldrid",Applaus for Sara,2011,,nob,2011,,,
2014111807507,"Inkpen, Mick","Virre Nøffs store, tullete bamse",cop. 2010,,nob,2010,,,
2014111907512,"Aalbu, Ragnar",Harry og Roger får en slags venn,2011,"barnelitteratur, billedbøker, humor, norsk, tryllekunstner",nob,2011,,,
2014112007528,"Jakobsen, Ketil",Rådyrkalven,2010,,nob,2010,,,
2014112007560,"Sandberg, Inger","Kommer snart, sa Laban og Labolina",2010,,nob,2010,,,
2014112007661,"Lindell, Unni",Nifse Nella og jordbærgiften :,cop. 2010,"barnebøker, spania, spøkelser, tyrefekting",nob,2010,den fjerde sannheten,,
2014112007663,"Thoroe, Charlotte",Påskehistorien :,2010,,nob,2010,"Matteus 21, Markus 14-16, Lukas 22-24",,
2014112107520,"Lloyd, Claudia",Hvorfor Elefant har snabel,cop. 2011,"afrika, billedbøker, dyr, elefanter, fabler",nob,2011,,,
2014112107553,"Becker, Geneviève de",Alt om livet på bondegården,[2010],,nob,2010,,,
2014112107584,"Folkestad, Anna R.",Unni og Gunni malar,2012,"biletbøker, billedbøker, farger, maling",nno,2012,,,
2014112107608,"Langreuter, Jutta",Ka[p]tein Sharky og fangeøya,cop. 2009,,nob,2009,,,
2014120107593,"Lindstøl, Fride",Nesten alltid våken,2006,"barn, biletbøker, billedbøker, katter, mødre",nob,2006,,,
2014120807532,"Listrøm, Anne Grete",Sverres lillesøster skal døpes,cop. 2008,"bildebøker, billedbøker, dåp",nob,2008,,,
2014120807608,"Ottesen, Josefine",Drage-herren,2006,"fantastisk, fantasy",nob,2006,,,
2014120807644,"Baugstø, Line",Huset i eplehagen,2007,"barnebøker, lettlesingsbøker, lettlest, spenningslitteratur",nob,2007,,,
2014120807672,"Sæther, Venke Eiane",Bake:it,2011,"bake, baking, barn, oppskrifter",nob,2011,,,
2014120907556,"Litchfield, Jo.",Skal vi leke? :,cop. 2008,,nob,2008,morsomme uteleker,,
2014120908101,"Grossmann, Kari",Lillesøster har bursdag,cop. 2008,"bildebøker, billedbøker, bursdag, fødselsdager",nob,2008,,,
